[2025-12-02 10:17:49.273] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_OV_ALM_VOLT, Unit=V, StoredUnit=V, CmdCode=, StoredCmdName=READ_TC_SETVALUE
[2025-12-02 10:17:49.275] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_RCHG_VOLT, Unit=V, StoredUnit=V, CmdCode=0x00BB, StoredCmdName=BAT_RCHG_VOLT
[2025-12-02 10:17:49.276] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_OV_ALM_VOLT, Unit=V, StoredUnit=V, CmdCode=, StoredCmdName=READ_TC_SETVALUE
[2025-12-02 10:17:49.277] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_OV_ALM_VOLT, Unit=V, StoredUnit=V, CmdCode=, StoredCmdName=READ_TC_SETVALUE
[2025-12-02 10:17:49.279] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_RCHG_VOLT, Unit=V, StoredUnit=V, CmdCode=0x00BB, StoredCmdName=BAT_RCHG_VOLT
[2025-12-02 10:17:49.280] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_SHDN_VOLT, Unit=V, StoredUnit=V, CmdCode=0x00BA, StoredCmdName=BAT_SHDN_VOLT
[2025-12-02 10:17:49.282] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_RCHG_VOLT, Unit=V, StoredUnit=V, CmdCode=0x00BB, StoredCmdName=BAT_RCHG_VOLT
[2025-12-02 10:17:49.283] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_RCHG_VOLT, Unit=V, StoredUnit=V, CmdCode=0x00BB, StoredCmdName=BAT_RCHG_VOLT
[2025-12-02 10:17:49.285] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_SHDN_VOLT, Unit=V, StoredUnit=V, CmdCode=0x00BA, StoredCmdName=BAT_SHDN_VOLT
[2025-12-02 10:17:49.286] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CHG_STATUS, Unit=, StoredUnit=, CmdCode=0x00B8, StoredCmdName=CHG_STATUS
[2025-12-02 10:17:49.288] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_SHDN_VOLT, Unit=V, StoredUnit=V, CmdCode=0x00BA, StoredCmdName=BAT_SHDN_VOLT
[2025-12-02 10:17:49.290] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=BAT_SHDN_VOLT, Unit=V, StoredUnit=V, CmdCode=0x00BA, StoredCmdName=BAT_SHDN_VOLT
[2025-12-02 10:17:49.291] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CHG_STATUS, Unit=, StoredUnit=, CmdCode=0x00B8, StoredCmdName=CHG_STATUS
[2025-12-02 10:17:49.293] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CC, Unit=A, StoredUnit=A, CmdCode=0x00B0, StoredCmdName=CURVE_CC
[2025-12-02 10:17:49.294] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CHG_STATUS, Unit=, StoredUnit=, CmdCode=0x00B8, StoredCmdName=CHG_STATUS
[2025-12-02 10:17:49.295] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CHG_STATUS, Unit=, StoredUnit=, CmdCode=0x00B8, StoredCmdName=CHG_STATUS
[2025-12-02 10:17:49.297] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CC, Unit=A, StoredUnit=A, CmdCode=0x00B0, StoredCmdName=CURVE_CC
[2025-12-02 10:17:49.298] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CC_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B5, StoredCmdName=CURVE_CC_TIMEOUT
[2025-12-02 10:17:49.299] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CC, Unit=A, StoredUnit=A, CmdCode=0x00B0, StoredCmdName=CURVE_CC
[2025-12-02 10:17:49.301] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CC, Unit=A, StoredUnit=A, CmdCode=0x00B0, StoredCmdName=CURVE_CC
[2025-12-02 10:17:49.302] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CC_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B5, StoredCmdName=CURVE_CC_TIMEOUT
[2025-12-02 10:17:49.304] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CONFIG, Unit=, StoredUnit=, CmdCode=0x00B4, StoredCmdName=CURVE_CONFIG
[2025-12-02 10:17:49.306] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CC_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B5, StoredCmdName=CURVE_CC_TIMEOUT
[2025-12-02 10:17:49.307] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CC_TIMEOUT, Unit=Sec, StoredUnit=Sec, CmdCode=0x00B5, StoredCmdName=CURVE_CC_TIMEOUT
[2025-12-02 10:17:49.308] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CONFIG, Unit=, StoredUnit=, CmdCode=0x00B4, StoredCmdName=CURVE_CONFIG
[2025-12-02 10:17:49.310] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CV, Unit=V, StoredUnit=V, CmdCode=0x00B1, StoredCmdName=CURVE_CV
[2025-12-02 10:17:49.312] [SubSystem][Update_ReadCmdFormat] ReadCmd Format Updated: CmdName=CURVE_CONFIG, Unit=, StoredUnit=, CmdCode=0x00B4, StoredCmdName=CURVE_CONFIG
